close,high,low,open,timestamp,volume
17085,17207,17026,17207,1670252400,187.53068978
17043,17102,16991,17085,1670256000,112.00253169
17057,17085,17007,17041,1670259600,76.85406901
17048,17124,17042,17056,1670263200,109.09415509
16926,17060,16879,17052,1670266800,157.81165478
16941,16948,16905,16925,1670270400,43.95593388
16975,16975,16932,16938,1670274000,84.05829328
16943,16975,16936,16975,1670277600,60.17331924
16968,16985,16924,16943,1670281200,59.35756688
17040,17044,16968,16968,1670284800,82.33748701
17034,17100,17031,17040,1670288400,67.80453085
17034,17079,17014,17033,1670292000,56.18683879
17004,17056,17001,17038,1670295600,35.46069466
17004,17014,16973,17003,1670299200,42.15404291
16980,17007,16971,17005,1670302800,27.75912341
17004,17020,16963,16976,1670306400,23.83245048
17005,17020,16993,17004,1670310000,19.20242068
17036,17040,16978,17005,1670313600,54.22795913
16980,17037,16977,17036,1670317200,62.45278850
16971,16987,16948,16979,1670320800,56.72073169
16986,16991,16919,16973,1670324400,63.75436061
16998,17018,16981,16986,1670328000,22.23597889
16984,17028,16982,16997,1670331600,32.73942990
16978,17018,16965,16984,1670335200,108.01388017
16986,17021,16944,16977,1670338800,127.27396935
16982,17017,16974,16983,1670342400,21.95788547
16963,17006,16948,16987,1670346000,32.75696656
16977,16995,16914,16963,1670349600,83.01604642
16973,16987,16931,16974,1670353200,45.78559394
16992,16993,16954,16974,1670356800,44.46221050
16996,17005,16978,16988,1670360400,55.76647389
16977,16998,16963,16995,1670364000,44.45375172
17087,17101,16974,16974,1670367600,93.01560921
17067,17131,17050,17091,1670371200,72.83573650
17042,17073,17026,17067,1670374800,39.79217895
17053,17065,17040,17044,1670378400,14.77171179
17029,17055,17024,17055,1670382000,16.39644196
17041,17044,17018,17027,1670385600,16.59568764
17008,17047,16982,17041,1670389200,33.13696105
16955,17008,16937,17008,1670392800,46.49168123
16770,16958,16736,16955,1670396400,193.28228347
16799,16814,16746,16765,1670400000,58.03517404
16833,16833,16795,16796,1670403600,98.22981921
16827,16832,16794,16832,1670407200,14.57435530
16795,16831,16788,16827,1670410800,20.97229749
16796,16811,16772,16791,1670414400,38.19368281
16859,16870,16796,16796,1670418000,81.24734687
16839,16894,16827,16857,1670421600,57.30587653
16843,16856,16816,16837,1670425200,41.51793993
16811,16849,16784,16840,1670428800,67.64920998
16807,16823,16801,16809,1670432400,27.92569164
16789,16836,16788,16806,1670436000,41.48285354
16815,16826,16787,16789,1670439600,31.44895838
16823,16839,16804,16814,1670443200,40.70309487
16833,16833,16810,16824,1670446800,31.99958497
16846,16853,16802,16833,1670450400,71.07500313
16836,16863,16832,16846,1670454000,29.72971159
16817,16883,16817,16838,1670457600,39.65899880
16829,16845,16787,16819,1670461200,41.74610360
16844,16877,16810,16829,1670464800,40.90721099
16831,16863,16830,16848,1670468400,30.32559316
16825,16846,16811,16833,1670472000,24.79720698
16825,16828,16809,16818,1670475600,25.40106593
